t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
2.80 14 3 3 36 56 0.11000000 -0.05500000 0.00007143 0.01287697 7 7 0.09013878 0.09013878 9 0.11589272
2.82 14 2 6 34 56 0.10000000 -0.06000000 0.00002830 0.01118034 0 0 0.00000000 0.00000000 6 0.06708204
2.84 15 2 4 32 53 0.10830189 -0.05018868 0.00003454 0.01285237 -3 3 -0.03855710 0.03855710 5 0.06426184
2.86 13 2 4 33 52 0.10769231 -0.05923077 0.00000265 0.00906261 -1 1 -0.00906261 0.00906261 3 0.02718784
2.88 15 1 6 37 59 0.10677966 -0.06406780 0.00000593 0.00492237 7 7 0.03445661 0.03445661 9 0.04430136
2.90 14 2 4 36 56 0.11000000 -0.06000000 0.00001614 0.00518821 -3 3 -0.01556464 0.01556464 5 0.02594106
2.92 12 2 5 31 50 0.10080000 -0.06160000 0.00001479 0.00933809 -6 6 -0.05602856 0.05602856 8 0.07470475
2.94 12 3 7 31 53 0.08716981 -0.06075472 0.00002794 0.01365637 3 3 0.04096912 0.04096912 3 0.04096912
2.96 13 3 6 32 54 0.09333333 -0.05703704 0.00001436 0.00719793 1 1 0.00719793 0.00719793 3 0.02159378
2.98 15 4 7 36 62 0.09032258 -0.05419355 0.00000038 0.00414126 8 8 0.03313010 0.03313010 8 0.03313010
3.00 15 3 7 37 62 0.09483871 -0.05870968 0.00000563 0.00638677 0 0 0.00000000 0.00000000 2 0.01277354
3.02 14 1 6 37 58 0.10620690 -0.06758621 0.00002180 0.01442319 -4 4 -0.05769277 0.05769277 4 0.05769277
3.04 15 2 8 36 61 0.09409836 -0.06196721 0.00004956 0.01334877 3 3 0.04004632 0.04004632 5 0.06674386
3.06 13 3 4 35 55 0.10436364 -0.05854545 0.00005226 0.01082055 -6 6 -0.06492330 0.06492330 8 0.08656441
3.08 11 2 8 34 55 0.08909091 -0.07381818 0.00009233 0.02159890 0 0 0.00000000 0.00000000 8 0.17279118
3.10 13 1 6 36 56 0.10500000 -0.07000000 0.00003977 0.01636086 1 1 0.01636086 0.01636086 7 0.11452601
3.12 13 2 5 36 56 0.10500000 -0.06500000 0.00004301 0.00500000 0 0 0.00000000 0.00000000 2 0.01000000
3.14 14 4 7 34 59 0.08779661 -0.05457627 0.00002431 0.02011494 3 3 0.06034481 0.06034481 7 0.14080457
3.16 15 4 7 35 61 0.08950820 -0.05278689 0.00001196 0.00247617 2 2 0.00495235 0.00495235 2 0.00495235
3.18 14 3 7 37 61 0.09409836 -0.06196721 0.00001124 0.01026392 0 0 0.00000000 0.00000000 4 0.04105567
3.20 13 3 7 37 60 0.09333333 -0.06533333 0.00001301 0.00345196 -1 1 -0.00345196 0.00345196 1 0.00345196
3.22 13 1 7 35 56 0.10000000 -0.07000000 0.00000483 0.00813770 -4 4 -0.03255081 0.03255081 4 0.03255081
3.24 13 3 7 35 58 0.09172414 -0.06275862 0.00004476 0.01099670 2 2 0.02199341 0.02199341 2 0.02199341
3.26 12 4 4 35 55 0.09927273 -0.05854545 0.00002770 0.00864477 -3 3 -0.02593430 0.02593430 5 0.04322383
3.28 12 2 7 34 55 0.09418182 -0.06872727 0.00003286 0.01138362 0 0 0.00000000 0.00000000 6 0.06830171
3.30 13 1 7 35 56 0.10000000 -0.07000000 0.00000972 0.00595576 1 1 0.00595576 0.00595576 3 0.01786728
3.32 13 1 5 36 55 0.10945455 -0.06872727 0.00004332 0.00953983 -1 1 -0.00953983 0.00953983 3 0.02861948
3.34 14 2 7 34 57 0.09578947 -0.06140351 0.00002793 0.01550393 2 2 0.03100785 0.03100785 6 0.09302355
3.36 15 3 7 35 60 0.09333333 -0.05600000 0.00001883 0.00593553 3 3 0.01780659 0.01780659 3 0.01780659
3.38 11 2 7 36 56 0.09500000 -0.07500000 0.00000655 0.01907296 -4 4 -0.07629184 0.07629184 6 0.11443776
3.40 12 1 8 36 57 0.09578947 -0.07614035 0.00000020 0.00138696 1 1 0.00138696 0.00138696 3 0.00416089
3.42 12 4 7 39 62 0.09032258 -0.06774194 0.00000614 0.01002099 5 5 0.05010496 0.05010496 7 0.07014695
3.44 12 3 7 34 56 0.09000000 -0.06500000 0.00000130 0.00276085 -6 6 -0.01656507 0.01656507 6 0.01656507
3.46 10 3 6 33 52 0.09153846 -0.07000000 0.00002574 0.00523133 -4 4 -0.02092534 0.02092534 4 0.02092534
3.48 13 2 6 36 57 0.10070175 -0.06631579 0.00001843 0.00987620 5 5 0.04938100 0.04938100 7 0.06913341
3.50 13 2 7 39 61 0.09868852 -0.07114754 0.00000389 0.00523440 4 4 0.02093759 0.02093759 4 0.02093759
3.52 12 2 7 37 58 0.09655172 -0.07241379 0.00001741 0.00248381 -3 3 -0.00745143 0.00745143 3 0.00745143
3.54 13 3 7 33 56 0.09000000 -0.06000000 0.00001275 0.01403664 -2 2 -0.02807329 0.02807329 6 0.08421986
3.56 12 3 6 32 53 0.09245283 -0.06075472 0.00000425 0.00256632 -3 3 -0.00769895 0.00769895 3 0.00769895
3.58 13 2 7 34 56 0.09500000 -0.06500000 0.00001121 0.00495081 3 3 0.01485242 0.01485242 5 0.02475404
3.60 13 2 6 32 53 0.09773585 -0.06075472 0.00003277 0.00505048 -3 3 -0.01515143 0.01515143 3 0.01515143
3.62 13 1 5 35 54 0.10888889 -0.06740741 0.00001996 0.01298648 1 1 0.01298648 0.01298648 5 0.06493239
3.64 14 2 7 36 59 0.09728814 -0.06406780 0.00002374 0.01207189 5 5 0.06035944 0.06035944 5 0.06035944
3.66 12 3 7 35 57 0.09087719 -0.06631579 0.00000502 0.00679365 -2 2 -0.01358730 0.01358730 4 0.02717459
3.68 12 3 7 36 58 0.09172414 -0.06758621 0.00000624 0.00152685 1 1 0.00152685 0.00152685 1 0.00152685
3.70 13 2 6 36 57 0.10070175 -0.06631579 0.00000992 0.00906706 -1 1 -0.00906706 0.00906706 3 0.02720118
3.72 12 2 6 35 55 0.09927273 -0.06872727 0.00001484 0.00280310 -2 2 -0.00560620 0.00560620 2 0.00560620
3.74 13 4 6 36 59 0.09254237 -0.05932203 0.00001484 0.01156530 4 4 0.04626120 0.04626120 4 0.04626120
3.76 14 3 7 35 59 0.09254237 -0.05932203 0.00001484 0.00000000 0 0 0.00000000 0.00000000 4 0.00000000
3.78 13 3 7 36 59 0.09254237 -0.06406780 0.00001295 0.00474576 0 0 0.00000000 0.00000000 2 0.00949153
3.80 13 2 7 38 60 0.09800000 -0.07000000 0.00000113 0.00806081 1 1 0.00806081 0.00806081 3 0.02418244
3.82 13 2 7 37 59 0.09728814 -0.06881356 0.00000172 0.00138362 -1 1 -0.00138362 0.00138362 1 0.00138362
3.84 13 3 6 36 58 0.09655172 -0.06275862 0.00005846 0.00609956 -1 1 -0.00609956 0.00609956 3 0.01829867
3.86 12 4 9 33 58 0.07724138 -0.06275862 0.00000518 0.01931034 0 0 0.00000000 0.00000000 8 0.15448276
3.88 11 4 7 32 54 0.08296296 -0.06222222 0.00003618 0.00574667 -4 4 -0.02298669 0.02298669 4 0.02298669
3.90 12 1 8 34 55 0.09418182 -0.07381818 0.00000498 0.01613471 1 1 0.01613471 0.01613471 7 0.11294300
3.92 11 1 7 34 53 0.09773585 -0.07660377 0.00000873 0.00451560 -2 2 -0.00903120 0.00903120 2 0.00903120
3.94 12 3 7 35 57 0.09087719 -0.06631579 0.00000814 0.01236462 4 4 0.04945847 0.04945847 4 0.04945847
3.96 12 4 7 36 59 0.08779661 -0.06406780 0.00001995 0.00381359 2 2 0.00762718 0.00762718 2 0.00762718
3.98 11 3 9 36 59 0.08305085 -0.07355932 0.00001403 0.01061185 0 0 0.00000000 0.00000000 4 0.04244739
4.00 13 3 8 37 61 0.08950820 -0.06655738 0.00006124 0.00952495 2 2 0.01904989 0.01904989 4 0.03809978
4.02 11 1 7 34 53 0.09773585 -0.07660377 0.00000961 0.01298554 -8 8 -0.10388435 0.10388435 8 0.10388435
4.04 11 3 7 32 53 0.08716981 -0.06603774 0.00003643 0.01494263 0 0 0.00000000 0.00000000 4 0.05977054
4.06 12 5 9 33 59 0.07355932 -0.05932203 0.00002345 0.01517716 6 6 0.09106294 0.09106294 6 0.09106294
4.08 11 3 8 32 54 0.08296296 -0.06740741 0.00006268 0.01240168 -5 5 -0.06200841 0.06200841 5 0.06200841
4.10 12 1 6 34 53 0.10301887 -0.07132075 0.00005327 0.02043413 -1 1 -0.02043413 0.02043413 7 0.14303890
4.12 12 0 6 36 54 0.10888889 -0.07777778 0.00000155 0.00872641 1 1 0.00872641 0.00872641 3 0.02617924
4.14 12 0 6 35 53 0.10830189 -0.07660377 0.00000425 0.00131258 -1 1 -0.00131258 0.00131258 1 0.00131258
4.16 14 3 7 34 58 0.09172414 -0.05793103 0.00020380 0.02496984 5 5 0.12484920 0.12484920 7 0.17478888
4.18 11 2 9 33 55 0.08400000 -0.07381818 0.00006122 0.01766533 -3 3 -0.05299598 0.05299598 7 0.12365728
4.20 12 2 7 34 55 0.09418182 -0.06872727 0.00001752 0.01138362 0 0 0.00000000 0.00000000 4 0.04553448
4.22 11 2 7 34 54 0.09333333 -0.07259259 0.00002493 0.00395735 -1 1 -0.00395735 0.00395735 1 0.00395735
4.24 13 4 9 37 63 0.08222222 -0.06444444 0.00002806 0.01377857 9 9 0.12400717 0.12400717 9 0.12400717
